title,link,citations,bioproject_id
Expression characterization and cross-species complementation uncover the functional conservation of YABBY genes for leaf abaxial polarity and carpel polarity establishment …,https://link.springer.com/article/10.1186/s12870-022-03501-3,13,PRJEB44944
Genomic analysis of SBP gene family in Saccharum spontaneum reveals their association with vegetative and reproductive development,https://link.springer.com/article/10.1186/s12864-021-08090-3,8,PRJEB44944
