title,link,citations,bioproject_id
Exploring the Genetic Networks of HLB Tolerance in Citrus: Insights Across Species and Tissues,https://www.mdpi.com/2223-7747/14/12/1792,0,PRJNA739186
Seasonal transcriptome profiling of susceptible and tolerant citrus cultivars to citrus Huanglongbing,https://apsjournals.apsnet.org/doi/abs/10.1094/PHYTO-05-22-0179-R,23,PRJNA739186
Unveiling organ-specific metabolism of Citrus clementina,https://www.pnas.org/doi/abs/10.1073/pnas.2503406122,0,PRJNA739186
Citrus genomic resources unravel putative genetic determinants of Huanglongbing pathogenicity,https://www.cell.com/iscience/fulltext/S2589-0042(23)00101-3,19,PRJNA739186
