title,link,citations,bioproject_id
"Continuous cell lines derived from the Asian citrus psyllid, Diaphorina citri, harbor viruses and Wolbachia",https://www.nature.com/articles/s41598-024-83671-2,2,PRJNA293863
Diverse array of new viral sequences identified in worldwide populations of the Asian citrus psyllid (Diaphorina citri) using viral metagenomics,https://journals.asm.org/doi/abs/10.1128/jvi.02793-15,85,PRJNA293863
Diverse array of new viral,https://www.researchgate.net/profile/Shahideh-Nouri/publication/287211933_Diverse_Array_of_New_Viral_Sequences_Identified_in_Worldwide_Populations_of_the_Asian_Citrus_Psyllid_Diaphorina_citri_Using_Viral_Metagenomics/links/56c3caa608aeeaf199f8fbb9/Diverse-Array-of-New-Viral-Sequences-Identified-in-Worldwide-Populations-of-the-Asian-Citrus-Psyllid-Diaphorina-citri-Using-Viral-Metagenomics.pdf,0,PRJNA293863
