title,link,citations,bioproject_id
Postglacial migration shaped the genomic diversity and global distribution of the wild ancestor of lager-brewing hybrids,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008680,47,PRJNA555221
"Genomic diversity and global distribution of Saccharomyces eubayanus, the wild ancestor of hybrid lager-brewing yeasts",https://www.biorxiv.org/content/10.1101/709535.abstract,6,PRJNA555221
Bioinformatics and evolutionary genomics of transposable elements in yeast,https://search.proquest.com/openview/fe7e6bd5eb6ae71c239e712003ad5889/1?pq-origsite=gscholar&cbl=18750&diss=y,0,PRJNA555221
Saccharomyces Eubayanus Population Genomics: Wild Diversity and Contributions to Domesticated Hybrids,https://search.proquest.com/openview/5944348e72b526078863efe59080ad46/1?pq-origsite=gscholar&cbl=18750&diss=y,0,PRJNA555221
