title,link,citations,bioproject_id
Neofunctionalization of an OMT cluster dominates polymethoxyflavone biosynthesis associated with the domestication of citrus,https://www.pnas.org/doi/abs/10.1073/pnas.2321615121,16,PRJNA579049
Transcriptomic and metabolomic analyses provide insight into the volatile compounds of citrus leaves and flowers,https://link.springer.com/article/10.1186/s12870-019-2222-z,39,PRJNA579049
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA579049
