title,link,citations,bioproject_id
A chromosome-level phased genome enabling allele-level studies in sweet orange: a case study on citrus Huanglongbing tolerance,https://academic.oup.com/hr/article-abstract/10/1/uhac247/6794931,26,PRJNA394061
Analysis of huanglongbing-associated RNA-seq data reveals disturbances in biological,https://books.google.com/books?hl=en&lr=&id=RMiAEQAAQBAJ&oi=fnd&pg=PA5&dq=PRJNA394061&ots=F6NpwCxRaM&sig=xqEZhuVa50zKZhnNBLvV3myU3vo,0,PRJNA394061
Analysis of huanglongbing-associated RNA-seq data reveals disturbances in biological processes within Citrus spp. triggered by Candidatus Liberibacter asiaticus …,https://www.frontiersin.org/articles/10.3389/fpls.2024.1388163/full,9,PRJNA394061
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA394061
