title,link,citations,bioproject_id
Mapping and exploiting the citrus genome,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/9780429266638-1&type=chapterpdf,3,PRJNA225835
Achieving sustainable cultivation of tropical fruits,https://books.google.com/books?hl=en&lr=&id=3CQzEQAAQBAJ&oi=fnd&pg=PT11&dq=PRJNA225835&ots=ekWr4QNO9E&sig=rzbTSc-9SeHKl7Shmfr0SDvk580,5,PRJNA225835
