title,link,citations,bioproject_id
"Regulation of carotenoid and chlorophyll pools in hesperidia, anatomically unique fruits found only in Citrus",https://academic.oup.com/plphys/article-abstract/187/2/829/6308950,55,PRJNA573296
CsERF003 enhanced peel coloration by promoting both chlorophyll degradation and carotenoid accumulation in citrus,https://www.sciencedirect.com/science/article/pii/S0168945224001584,2,PRJNA573296
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA573296
