title,link,citations,bioproject_id
Genome-Wide Identification of APX Gene Family in Citrus maxima and Expression Analysis at Different Postharvest Preservation Times,https://www.mdpi.com/2073-4425/15/7/911,2,PRJNA817805
Transcriptome Analysis Reveals Candidate Lignin-Related Genes and Transcription Factors during Fruit Development in Pomelo (Citrus maxima),https://www.mdpi.com/2073-4425/13/5/845,13,PRJNA817805
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA817805
