title,link,citations,bioproject_id
Functional analysis of citrus AP2 transcription factors identified CsAP2-09 involved in citrus canker disease response and tolerance,https://www.sciencedirect.com/science/article/pii/S0378111919303671,38,PRJNA505360
The CsAP2‐09‐CsWRKY25‐CsRBOH2 cascade confers resistance against citrus bacterial canker by regulating ROS homeostasis,https://onlinelibrary.wiley.com/doi/abs/10.1111/tpj.16623,6,PRJNA505360
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA505360
