title,link,citations,bioproject_id
The effect of hybridization on transposable element accumulation in an undomesticated fungal species,https://elifesciences.org/articles/60474,39,PRJNA479851
Hybridization is a recurrent evolutionary stimulus in wild yeast speciation,https://www.nature.com/articles/s41467-019-08809-7,87,PRJNA479851
The effect of hybridization on transposable element accumulation in an undomesticated fungal species,https://www.academia.edu/download/71007785/elife-60474-v2.pdf,0,PRJNA479851
Bioinformatics and evolutionary genomics of transposable elements in yeast,https://search.proquest.com/openview/fe7e6bd5eb6ae71c239e712003ad5889/1?pq-origsite=gscholar&cbl=18750&diss=y,0,PRJNA479851
Les conséquences de l'hybridation sur la dynamique des éléments génétiques non-mendéliens,https://corpus.ulaval.ca/entities/publication/05dfc351-e701-4502-bafd-e67252e248d8,0,PRJNA479851
