title,link,citations,bioproject_id
Comparative genomics profiling of Citrus species reveals the diversity and disease responsiveness of the GLP pangenes family,https://link.springer.com/article/10.1186/s12870-025-06397-x,1,PRJNA797721
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA797721
An effector of 'Candidatus Liberibacter asiaticus' manipulates autophagy to promote bacterial infection,https://journals.aai.org/jxb/article/74/15/4670/7160136,30,PRJNA797721
