title,link,citations,bioproject_id
Multiomic investigation of Sugarcane mosaic virus resistance in sugarcane.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=20955421&AN=174806955&h=VLpsVOk%2F9Anxlf3MU6kOju5KGVwbqqvv4zKQ2A6piB9hRWV5o8R%2FFGqxukqRYeEoH3C9PHueJ8a7UjbQhMkpqg%3D%3D&crl=c,0,PRJNA474042
Effect of sugar feedback regulation on major genes and proteins of photosynthesis in sugarcane leaves,https://www.sciencedirect.com/science/article/pii/S0981942820305738,29,PRJNA474042
Midrib sucrose accumulation and sugar transporter gene expression in YCS-affected sugarcane leaves,https://link.springer.com/article/10.1007/s12042-019-09221-7,12,PRJNA474042
