title,link,citations,bioproject_id
Restructuring citrus endophytic diversity through potential indigenous endophytes could eliminate huanglongbing pathogen Candidatus Liberibacter asiaticus,https://www.researchsquare.com/article/rs-74822/latest,1,PRJNA640485
Endophyte mediated restoration of citrus microbiome and modulation of host defense genes against Candidatus Liberibacter asiaticus,https://www.researchsquare.com/article/rs-2863977/latest,4,PRJNA640485
Molecular insights from integrated metabolome-transcriptome into endophyte Bacillus subtilis L1-21 surfactin against citrus Huanglongbing,https://www.sciencedirect.com/science/article/pii/S0944501324003434,2,PRJNA640485
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA640485
