title,link,citations,bioproject_id
Integrated Transcriptomic and Metabolomic analysis reveals a transcriptional regulation network for the biosynthesis of carotenoids and flavonoids in 'Cara cara'navel …,https://link.springer.com/article/10.1186/s12870-020-02808-3,45,PRJNA636131
Analysis of sugar components and identification of SPS genes in citrus fruit development,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1372809/full,10,PRJNA636131
Putative Synergetic Genes Involved in the Syntheses of Carotenoids and Flavonoids in'Cara cara'Navel Orange as Revealed by Integrated Transcriptome and …,https://assets-eu.researchsquare.com/files/rs-49272/v1/d152a092-998d-4cde-b7bc-3f216d4b4792.pdf,0,PRJNA636131
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA636131
