title,link,citations,bioproject_id
Analysis of huanglongbing-associated RNA-seq data reveals disturbances in biological,https://books.google.com/books?hl=en&lr=&id=RMiAEQAAQBAJ&oi=fnd&pg=PA5&dq=PRJNA203307&ots=F6NpwCxR6R&sig=f2RQBGv5b3M76Md6Pb6UbgHM_zY,0,PRJNA203307
Identification and comprehensive analyses of the CBL gene families in sweet orange (Citrus sinensisL.),https://www.jpmb-gabit.ir/&url=http:/www.jpmb-gabit.ir/article_709799.html,3,PRJNA203307
Analysis of huanglongbing-associated RNA-seq data reveals disturbances in biological processes within Citrus spp. triggered by Candidatus Liberibacter asiaticus …,https://www.frontiersin.org/articles/10.3389/fpls.2024.1388163/full,9,PRJNA203307
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA203307
