title,link,citations,bioproject_id
Identification and comprehensive analyses of the CBL gene families in sweet orange (Citrus sinensisL.),https://www.jpmb-gabit.ir/&url=http:/www.jpmb-gabit.ir/article_709799.html,3,PRJNA741128
Transcriptomic and physiological analysis reveals interplay between salicylic acid and drought stress in citrus tree floral initiation,https://link.springer.com/article/10.1007/s00425-021-03801-2,41,PRJNA741128
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA741128
