title,link,citations,bioproject_id
WRKY75 regulates anthocyanin accumulation in juvenile citrus tissues,https://link.springer.com/article/10.1007/s11032-024-01490-9,7,PRJNA796621
The high-quality genome of pummelo provides insights into the tissue-specific regulation of citric acid and anthocyanin during domestication,https://academic.oup.com/hr/article-abstract/doi/10.1093/hr/uhac175/6655783,24,PRJNA796621
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA796621
