title,link,citations,bioproject_id
Transcriptome analysis reveals improved root hair growth in trifoliate orange seedlings by arbuscular mycorrhizal fungi,https://link.springer.com/article/10.1007/s10725-020-00630-3,20,PRJNA558461
Regulation of arbuscular mycorrhizal fungi in citrus root hairs mediated by auxin efflux carrier protein PtPINs,https://www.sciencedirect.com/science/article/pii/S0304423824007301,3,PRJNA558461
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA558461
