title,link,citations,bioproject_id
Identifying candidate genes for sugar accumulation in sugarcane: an integrative approach,https://link.springer.com/article/10.1186/s12864-024-11089-1,0,PRJNA681593
"The wild sugarcane and sorghum kinomes: Insights into expansion, diversification, and expression patterns",https://www.frontiersin.org/articles/10.3389/fpls.2021.668623/full,29,PRJNA681593
Identificação de genes candidatos para acúmulo de açúcar em cultivares de cana-de-açúcar (Saccharum spp.) a partir de uma região genômica sintênica com …,https://repositorio.unicamp.br/Busca/Download?codigoArquivo=574087&tipoMidia=0,0,PRJNA681593
