title,link,citations,bioproject_id
Silicon fertilizer mediated structural variation and niche differentiation in the rhizosphere and endosphere bacterial microbiome and metabolites of sugarcane,https://www.frontiersin.org/articles/10.3389/fmicb.2022.1009505/full,16,PRJNA848385
"Yongmei Zhou 2, 4, Fei Dong 4, 5, Wenxiong Lin 2, 5 and Chaohua Hu",https://www.academia.edu/download/95211717/pdf.pdf,0,PRJNA848385
"258 Effect of symbiotic fungi-Armillaria gallica on the yield of Gastrodia elata Bl. and insight into the response of soil microbial community Yanhong Wang, Jiao Xu …",https://books.google.com/books?hl=en&lr=&id=Oz4FEQAAQBAJ&oi=fnd&pg=PA4&dq=PRJNA848385&ots=w31aoCJ32Q&sig=aOIQ3c-A526CTelBnXSpKUM2c8k,0,PRJNA848385
