title,link,citations,bioproject_id
"Bacillus subtilis strain BS87 as a biocontrol agent against spot blotch disease: effect on growth, nutrient status, and antioxidant enzymes in wheat",https://link.springer.com/article/10.1007/s11738-024-03657-5,4,PRJNA634628
Whole genome sequence insight of two plant growth-promoting bacteria (B. subtilis BS87 and B. megaterium BM89) isolated and characterized from …,https://www.sciencedirect.com/science/article/pii/S0944501321000392,47,PRJNA634628
Pipeline para extração automática de genes associados à PGPR: um estudo de caso de bactérias do gênero bacillus,http://repositorio.utfpr.edu.br/jspui/handle/1/32980,0,PRJNA634628
