title,link,citations,bioproject_id
Cloning and expression analysis of CHS gene family in Citrus suavissima 'Seedless',https://zlxb.zafu.edu.cn/en/article/doi/10.11833/j.issn.2095-0756.2019.05.013,0,PRJNA430695
'无子瓯柑'CHS 基因家族的克隆和表达分析,https://zlxb.zafu.edu.cn/fileZJNLDXXB/journal/article/zjnldxxb/2019/5/PDF/zjnldxxb-36-5-943.pdf,0,PRJNA430695
Seedless mutant 'Wuzi Ougan' (Citrus suavissima Hort. ex Tanaka 'seedless') and the wild type were compared by iTRAQ-based quantitative proteomics and …,https://link.springer.com/article/10.1186/s12863-018-0693-9,26,PRJNA430695
