title,link,citations,bioproject_id
Genome-wide identification and expression analysis of the SOD gene family under biotic and abiotic stresses in sweet orange,https://link.springer.com/article/10.1007/s11816-024-00913-5,3,PRJNA792482
Pangenome-wide analysis of cyclic nucleotide-gated channel (CNGC) gene family in citrus Spp. Revealed their intraspecies diversity and potential roles in abiotic …,https://www.frontiersin.org/articles/10.3389/fgene.2022.1034921/full,24,PRJNA792482
OrangeExpDB: an integrative gene expression database for Citrus spp.,https://link.springer.com/article/10.1186/s12864-024-10445-5,0,PRJNA792482
